scenario,run-number,value,final,min,max,mean,ticks
A,7,sum [road-infected] of turtles,10,0,10,5.059960027,1500
A,7,sum [forest-edge-infected] of turtles,43,0,43,21.09660227,1500
A,7,sum [industrial-infected] of turtles,6,0,6,2.880746169,1500
A,7,sum [institutional-infected] of turtles,6,0,6,2.221185876,1500
A,7,sum [commercial-infected] of turtles,48,0,48,25.41439041,1500
A,7,sum [landscaped-green-area-infected] of turtles,30,0,30,14.65889407,1500
A,8,R0-SEI,2.4375,0,3.875,2.609968354,1500
A,8,attack-rate,68.75,0,100,71.15256496,1500
A,8,sum [overall-infection] of turtles,432,0,432,217.1632245,1500
A,8,sum [forest-infected] of turtles,167,0,167,85.15722851,1500
A,8,sum [HDR-infected] of turtles,49,0,49,25.09860093,1500
A,8,sum [MDR-infected] of turtles,97,0,97,47.44037308,1500
A,8,sum [natural-infected] of turtles,0,0,0,0,1500
A,8,sum [road-infected] of turtles,6,0,6,2.231179214,1500
A,8,sum [forest-edge-infected] of turtles,33,0,33,18.73817455,1500
A,8,sum [industrial-infected] of turtles,5,0,5,3.09793471,1500
A,8,sum [institutional-infected] of turtles,3,0,3,1.321119254,1500
A,8,sum [commercial-infected] of turtles,34,0,34,16.58960693,1500
A,8,sum [landscaped-green-area-infected] of turtles,38,0,38,17.48900733,1500
A,9,R0-SEI,2.5,0,3.5625,2.1989507,1500
A,9,attack-rate,68.75,0,100,69.16638907,1500
A,9,sum [overall-infection] of turtles,380,0,380,202.7488341,1500
A,9,sum [forest-infected] of turtles,151,0,151,81.61425716,1500
A,9,sum [HDR-infected] of turtles,46,0,46,25.1805463,1500
A,9,sum [MDR-infected] of turtles,80,0,80,40.04796802,1500
A,9,sum [natural-infected] of turtles,0,0,0,0,1500
A,9,sum [road-infected] of turtles,5,0,5,2.716189207,1500
A,9,sum [forest-edge-infected] of turtles,30,0,30,17.24050633,1500
A,9,sum [industrial-infected] of turtles,3,0,3,1.512991339,1500
A,9,sum [institutional-infected] of turtles,2,0,2,1.143904064,1500
A,9,sum [commercial-infected] of turtles,25,0,25,16.58960693,1500
A,9,sum [landscaped-green-area-infected] of turtles,38,0,38,16.70286476,1500
A,10,R0-SEI,1.6875,0,3.8125,2.409810127,1500
A,10,attack-rate,37.5,0,93.75,65.85193205,1500
A,10,sum [overall-infection] of turtles,431,0,431,224.6122585,1500
A,10,sum [forest-infected] of turtles,181,0,181,101.0519654,1500
A,10,sum [HDR-infected] of turtles,40,0,40,22.31312458,1500
A,10,sum [MDR-infected] of turtles,89,0,89,42.61758827,1500
A,10,sum [natural-infected] of turtles,0,0,0,0,1500
A,10,sum [road-infected] of turtles,8,0,8,3.469686875,1500
A,10,sum [forest-edge-infected] of turtles,24,0,24,12.1685543,1500
A,10,sum [industrial-infected] of turtles,8,0,8,3.815456362,1500
A,10,sum [institutional-infected] of turtles,5,0,5,2.017321785,1500
A,10,sum [commercial-infected] of turtles,34,0,34,16.37375083,1500
A,10,sum [landscaped-green-area-infected] of turtles,42,0,42,20.78481013,1500
A,11,R0-SEI,3.0625,0,3.6875,2.338940706,1500
A,11,attack-rate,75,0,93.75,66.35992672,1500
A,11,sum [overall-infection] of turtles,408,0,408,214.0073284,1500
A,11,sum [forest-infected] of turtles,166,0,166,84.93804131,1500
A,11,sum [HDR-infected] of turtles,53,0,53,28.45103264,1500
A,11,sum [MDR-infected] of turtles,85,0,85,51.17188541,1500
A,11,sum [natural-infected] of turtles,0,0,0,0,1500
A,11,sum [road-infected] of turtles,6,0,6,3.518987342,1500
A,11,sum [forest-edge-infected] of turtles,23,0,23,12.53764157,1500
A,11,sum [industrial-infected] of turtles,4,0,4,1.021319121,1500
A,11,sum [institutional-infected] of turtles,7,0,7,2.45236509,1500
