scenario,run-number,value,final,min,max,mean,ticks
A,7,sum [natural-infected] of turtles,0,0,0,0,1500
A,7,sum [road-infected] of turtles,41,0,41,19.12058628,1500
A,7,sum [forest-edge-infected] of turtles,48,0,48,20.09193871,1500
A,7,sum [industrial-infected] of turtles,0,0,0,0,1500
A,7,sum [institutional-infected] of turtles,20,0,20,10.98267821,1500
A,7,sum [commercial-infected] of turtles,47,0,47,25.98334444,1500
A,7,sum [landscaped-green-area-infected] of turtles,80,0,80,39.05796136,1500
A,8,R0-SEI,1.5,0,4.8125,3.11967022,1500
A,8,attack-rate,43.75,0,100,68.62508328,1500
A,8,sum [overall-infection] of turtles,613,0,613,312.1485676,1500
A,8,sum [forest-infected] of turtles,220,0,220,115.5716189,1500
A,8,sum [HDR-infected] of turtles,50,0,50,30.44503664,1500
A,8,sum [MDR-infected] of turtles,126,0,126,54.8520986,1500
A,8,sum [natural-infected] of turtles,0,0,0,0,1500
A,8,sum [road-infected] of turtles,20,0,20,9.285143238,1500
A,8,sum [forest-edge-infected] of turtles,57,0,57,29.55429714,1500
A,8,sum [industrial-infected] of turtles,3,0,3,0.950699534,1500
A,8,sum [institutional-infected] of turtles,5,0,5,2.730846103,1500
A,8,sum [commercial-infected] of turtles,70,0,70,37.28381079,1500
A,8,sum [landscaped-green-area-infected] of turtles,62,0,62,31.47501666,1500
A,9,R0-SEI,3.8125,0,8,4.491047635,1500
A,9,attack-rate,81.25,0,100,70.76532312,1500
A,9,sum [overall-infection] of turtles,731,0,731,351.1605596,1500
A,9,sum [forest-infected] of turtles,204,0,204,101.9247169,1500
A,9,sum [HDR-infected] of turtles,51,0,51,21.78747502,1500
A,9,sum [MDR-infected] of turtles,210,0,210,100.6842105,1500
A,9,sum [natural-infected] of turtles,0,0,0,0,1500
A,9,sum [road-infected] of turtles,33,0,33,16.69153897,1500
A,9,sum [forest-edge-infected] of turtles,56,0,56,27.29780147,1500
A,9,sum [industrial-infected] of turtles,4,0,4,2.127248501,1500
A,9,sum [institutional-infected] of turtles,16,0,16,6.235842771,1500
A,9,sum [commercial-infected] of turtles,67,0,67,26.99600266,1500
A,9,sum [landscaped-green-area-infected] of turtles,90,0,90,47.41572285,1500
A,10,R0-SEI,6.5,0,8.0625,4.760159893,1500
A,10,attack-rate,93.75,0,100,72.89723518,1500
A,10,sum [overall-infection] of turtles,850,0,850,414.7295137,1500
A,10,sum [forest-infected] of turtles,153,0,153,67.40106596,1500
A,10,sum [HDR-infected] of turtles,133,0,133,67.87674883,1500
A,10,sum [MDR-infected] of turtles,326,0,326,156.4830113,1500
A,10,sum [natural-infected] of turtles,0,0,0,0,1500
A,10,sum [road-infected] of turtles,32,0,32,18.508994,1500
A,10,sum [forest-edge-infected] of turtles,44,0,44,23.83677548,1500
A,10,sum [industrial-infected] of turtles,2,0,2,1.538974017,1500
A,10,sum [institutional-infected] of turtles,23,0,23,10.48367755,1500
A,10,sum [commercial-infected] of turtles,62,0,62,31.05996003,1500
A,10,sum [landscaped-green-area-infected] of turtles,75,0,75,37.54030646,1500
A,11,R0-SEI,0,0,0,0,42
A,11,attack-rate,0,0,6.25,5.959302326,42
A,11,sum [overall-infection] of turtles,0,0,0,0,42
A,11,sum [forest-infected] of turtles,0,0,0,0,42
A,11,sum [HDR-infected] of turtles,0,0,0,0,42
A,11,sum [MDR-infected] of turtles,0,0,0,0,42
A,11,sum [natural-infected] of turtles,0,0,0,0,42
A,11,sum [road-infected] of turtles,0,0,0,0,42
A,11,sum [forest-edge-infected] of turtles,0,0,0,0,42
A,11,sum [industrial-infected] of turtles,0,0,0,0,42
A,11,sum [institutional-infected] of turtles,0,0,0,0,42
A,11,sum [commercial-infected] of turtles,0,0,0,0,42
A,11,sum [landscaped-green-area-infected] of turtles,0,0,0,0,42
A,12,R0-SEI,0,0,0,0,1
A,12,attack-rate,0,0,0,0,1
A,12,sum [overall-infection] of turtles,0,0,0,0,1
A,12,sum [forest-infected] of turtles,0,0,0,0,1
A,12,sum [HDR-infected] of turtles,0,0,0,0,1
A,12,sum [MDR-infected] of turtles,0,0,0,0,1
A,12,sum [natural-infected] of turtles,0,0,0,0,1
A,12,sum [road-infected] of turtles,0,0,0,0,1
A,12,sum [forest-edge-infected] of turtles,0,0,0,0,1
A,12,sum [industrial-infected] of turtles,0,0,0,0,1
A,12,sum [institutional-infected] of turtles,0,0,0,0,1
A,12,sum [commercial-infected] of turtles,0,0,0,0,1
A,12,sum [landscaped-green-area-infected] of turtles,0,0,0,0,1
