scenario,run-number,value,final,min,max,mean,ticks
A,11,R0-SEI,2.9375,0,4.1875,2.786517322,1500
A,11,attack-rate,62.5,0,100,64.46535643,1500
A,11,sum [overall-infection] of turtles,442,0,442,230.4357095,1500
A,11,sum [forest-infected] of turtles,188,0,188,100.254497,1500
A,11,sum [HDR-infected] of turtles,11,0,11,5.410393071,1500
A,11,sum [MDR-infected] of turtles,29,0,29,13.23184544,1500
A,11,sum [open-area-infected] of turtles,167,0,167,87.96202532,1500
A,11,sum [road-infected] of turtles,4,0,4,1.369753498,1500
A,11,sum [forest-edge-infected] of turtles,43,0,43,22.2071952,1500
A,12,R0-SEI,2.6875,0,4.4375,2.53431046,1500
A,12,attack-rate,56.25,0,100,69.46618921,1500
A,12,sum [overall-infection] of turtles,431,0,431,222.7341772,1500
A,12,sum [forest-infected] of turtles,223,0,223,120.0333111,1500
A,12,sum [HDR-infected] of turtles,5,0,5,4.001998668,1500
A,12,sum [MDR-infected] of turtles,60,0,60,30.1152565,1500
A,12,sum [open-area-infected] of turtles,104,0,104,49.38241173,1500
A,12,sum [road-infected] of turtles,2,0,2,1.069287142,1500
A,12,sum [forest-edge-infected] of turtles,37,0,37,18.13191206,1500
A,13,R0-SEI,1.5,0,3.9375,2.452281812,1500
A,13,attack-rate,62.5,0,100,67.8047968,1500
A,13,sum [overall-infection] of turtles,440,0,440,240.3051299,1500
A,13,sum [forest-infected] of turtles,210,0,210,112.2298468,1500
A,13,sum [HDR-infected] of turtles,5,0,5,3.025982678,1500
A,13,sum [MDR-infected] of turtles,34,0,34,21.09327115,1500
A,13,sum [open-area-infected] of turtles,136,0,136,76.01798801,1500
A,13,sum [road-infected] of turtles,1,0,1,0.549633578,1500
A,13,sum [forest-edge-infected] of turtles,54,0,54,27.38840773,1500
A,14,R0-SEI,0.125,0,0.125,0.06875,19
A,14,attack-rate,0,0,6.25,5.625,19
A,14,sum [overall-infection] of turtles,2,0,2,1.1,19
A,14,sum [forest-infected] of turtles,0,0,0,0,19
A,14,sum [HDR-infected] of turtles,0,0,0,0,19
A,14,sum [MDR-infected] of turtles,0,0,0,0,19
A,14,sum [open-area-infected] of turtles,0,0,0,0,19
A,14,sum [road-infected] of turtles,0,0,0,0,19
A,14,sum [forest-edge-infected] of turtles,2,0,2,1.1,19
A,15,R0-SEI,0.0625,0,0.0625,0.0546875,15
A,15,attack-rate,0,0,6.25,5.46875,15
A,15,sum [overall-infection] of turtles,1,0,1,0.875,15
A,15,sum [forest-infected] of turtles,1,0,1,0.875,15
A,15,sum [HDR-infected] of turtles,0,0,0,0,15
A,15,sum [MDR-infected] of turtles,0,0,0,0,15
A,15,sum [open-area-infected] of turtles,0,0,0,0,15
A,15,sum [road-infected] of turtles,0,0,0,0,15
A,15,sum [forest-edge-infected] of turtles,0,0,0,0,15
A,16,R0-SEI,2.5625,0,4.0625,2.660559627,1500
A,16,attack-rate,62.5,0,93.75,66.22251832,1500
A,16,sum [overall-infection] of turtles,484,0,484,243.3191206,1500
A,16,sum [forest-infected] of turtles,226,0,226,107.0966023,1500
A,16,sum [HDR-infected] of turtles,7,0,7,2.694203864,1500
A,16,sum [MDR-infected] of turtles,35,0,35,18.36175883,1500
A,16,sum [open-area-infected] of turtles,101,0,101,50.06129247,1500
A,16,sum [road-infected] of turtles,0,0,0,0,1500
A,16,sum [forest-edge-infected] of turtles,115,0,115,65.10526316,1500
A,17,R0-SEI,2.8125,0,5.0625,2.887783145,1500
